THA,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
THA,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
THA,Moderna - mRNA-1273,mRNA-1273,Moderna
TJK,Moderna - mRNA-1273,mRNA-1273,Moderna
TJK,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
TJK,SII - Covishield,Covishield,Serum Institute of India
TJK,Sinovac - CoronaVac,Coronavac,Sinovac
TKL,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
TKM,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
TKM,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
TKM,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
TKM,SRCVB - EpiVacCorona,EpiVacCorona,State Research Center of Virology & Biotechnology
TLS,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
TLS,Sinovac - CoronaVac,Coronavac,Sinovac
TLS,SII - Covishield,Covishield,Serum Institute of India
TON,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
TTO,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
TTO,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
TTO,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
TTO,SII - Covishield,Covishield,Serum Institute of India
TUN,Sinovac - CoronaVac,Coronavac,Sinovac
TUN,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
TUN,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
TUN,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
TUN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
TUR,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
TUR,Sinovac - CoronaVac,Coronavac,Sinovac
TUV,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
TZA,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
UGA,SII - Covishield,Covishield,Serum Institute of India
UKR,Sinovac - CoronaVac,Coronavac,Sinovac
UKR,SII - Covishield,Covishield,Serum Institute of India
UKR,Moderna - mRNA-1273,mRNA-1273,Moderna
UKR,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
UKR,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
UKR,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
URY,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
URY,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
URY,Sinovac - CoronaVac,Coronavac,Sinovac
USA,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
USA,Moderna - mRNA-1273,mRNA-1273,Moderna
USA,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
UZB,Moderna - mRNA-1273,mRNA-1273,Moderna
UZB,Anhui ZL - Recombinant,Recombinant SARS-CoV-2 vaccine,Anhui Zhifei Longcom Biopharmaceutical
UZB,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
UZB,SII - Covishield,Covishield,Serum Institute of India
VCT,SII - Covishield,Covishield,Serum Institute of India
VCT,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
VCT,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
VCT,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
VEN,Wuhan CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Wuhan Institute of Biological Products (CNBG)
VEN,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
VEN,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
VGB,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
VGB,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
VNM,Moderna - mRNA-1273,mRNA-1273,Moderna
VNM,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
VNM,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
VNM,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
VNM,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
VUT,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
VUT,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
WLF,Moderna - mRNA-1273,mRNA-1273,Moderna
WSM,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
XKX,AstraZeneca - AZD1222,AZD1222,AstraZeneca
YEM,SII - Covishield,Covishield,Serum Institute of India
ZAF,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
ZMB,SII - Covishield,Covishield,Serum Institute of India
ZWE,Sinovac - CoronaVac,Coronavac,Sinovac
ZWE,Bharat - Covaxin,Covaxin,Bharat Biotech
ZWE,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG
